Gene	Log2 Fold Change	p-value
gtpbp4	1.05419457189443	4.315755409975404e-22
magoh	1.5034552332519286	4.385351005768524e-22
ENSDARG00000109438	-4.443558363884097	4.385596582009696e-22
atp2b3a	2.2542618730929163	4.719623772819117e-22
cart2	1.7089595330042993	4.739123314499073e-22
tm4sf21a	1.5229530592912484	4.851829978092755e-22
zgc:171750	-4.8650587172355815	4.96565509950582e-22
mylk4a	1.8489938906855765	5.091135699985594e-22
klhl10a	-inf	5.869691140362295e-22
dap1b	1.206007835626082	6.117291683532921e-22
rbp3	1.9753138335209557	6.343143346000347e-22
atp1a1a.3	1.8173860961813286	6.429004847071425e-22
crybgx	0.9552298716228294	6.699377464002062e-22
pdcd4b	1.5532975744807578	7.041256321352555e-22
atp1a1a.5	1.7252202808447874	7.6260310174047735e-22
cdo1	1.205298329273402	7.854760028467866e-22
cyp7a1	1.5438669130449738	8.028849025149541e-22
cyp24a1	2.0150761409707827	8.768197642783377e-22
nrg1	1.8071222583759514	8.921921908081993e-22
lrmp	0.9720154091375117	9.171659503374341e-22
LOC110439423	1.9529349131416431	9.271379897748427e-22
sagb	1.1351126720359344	9.536554279502601e-22
crp5	-2.656590324006865	9.821788793620422e-22
LOC101884284	1.8869307867446001	1.0054238853037493e-21
ENSDARG00000103487	-2.831949514065637	1.1726233263668582e-21
smyhc3	-2.6689609136274854	1.2689133334078134e-21
alpk3a	1.850817147104355	1.3252671176012083e-21
camk2n1a	1.4392918494539473	1.33169296353083e-21
si:dkey-205h13.2	1.522319049890393	1.333769721546553e-21
acsl5	1.0451324670938864	1.4275453162639744e-21
zgc:73226	1.967711904705545	1.4460885409650352e-21
grin1b	1.146893434134819	1.4581615587729587e-21
fblim1	1.3721028739621135	1.6369446355589636e-21
crtac1a	1.5627640099189486	1.6531153634729225e-21
fxyd6	1.73833154871282	1.7353520899387596e-21
si:ch211-107o10.3	1.0788709126904479	1.8288297971098235e-21
irf2b	1.3469209985253425	1.938750870941183e-21
crygmx	1.4120985336301457	1.9882203139727345e-21
add3b	1.0291094577394144	2.0943801810149392e-21
si:dkey-183j2.10	1.3056911236410054	2.116027773573088e-21
gdpd5b	1.763651247282139	2.223042533434396e-21
gsta.1	0.8924817381443622	2.2429989469237755e-21
kcna7	2.4767407357016666	2.345910275821705e-21
rhcgb	1.9067704306848046	2.384363795248212e-21
ENSDARG00000110787	-2.156646520163321	2.482808887119504e-21
LOC100535731	1.1989331808342834	2.497526653618839e-21
ENSDARG00000117477	-2.5691645265726506	2.838615993905908e-21
si:ch211-251b21.1	1.6461664636967535	2.8400650627675927e-21
ela2l	1.7248297093375005	2.909282759204631e-21
zgc:136908	1.2782051814779238	2.909617617800619e-21
ENSDARG00000101935	-2.926515336994414	3.2103677515060593e-21
igfn1.3	1.7266012196502294	3.3076259879683206e-21
gpx1b	1.4034156133875675	3.3668383871418286e-21
mfge8a	1.8611029450595038	3.548365466527504e-21
pde5ab	2.0641156111279804	3.836805030257311e-21
gpr153	3.2149923892158494	3.999569844254867e-21
selenop	1.1779852759372014	4.012612442806582e-21
tbxas1	1.6325429066230979	4.024821911745404e-21
fhl2a	1.1564958166366028	4.054347314657759e-21
zfp36l1b	1.3771241146917526	4.224342549742905e-21
sb:cb1058	1.201951179677599	4.384787205793851e-21
txlnbb	1.0160220187684514	4.391388678942263e-21
amy2a	1.8905586498132136	4.715221024951333e-21
notchl	1.6532876280970146	4.851594794805785e-21
nxph2b	2.433878078007648	5.291947751194517e-21
si:dkey-23k10.5	1.2253448669420994	5.383807491019471e-21
zgc:171509	1.8512961708070828	5.660800933491006e-21
cacnb2b	1.8239703967453527	5.672019344501263e-21
arr3b	0.681334305387678	5.731090213744568e-21
gstr	1.3266255914810503	5.7422207668508146e-21
ENSDARG00000116984	1.8201777582740994	5.848919314417785e-21
si:dkey-21p1.3	1.6891309399329801	5.880447788410477e-21
ENSDARG00000094941	-1.8889266097267556	6.449354583902243e-21
rtbdn	1.943563542013129	6.887595089134244e-21
epas1b	1.4921410294954491	6.942243547068132e-21
ENSDARG00000096508	1.3775007297699051	6.95744950972548e-21
tfpil	1.2178578431867302	7.108334341720603e-21
kcnip4b	1.573983366106656	8.185561615975353e-21
si:zfos-1505d6.3	-2.419694055474957	9.528337102063773e-21
BSN	1.7935170888281786	9.574464873045013e-21
clcn2c	1.6635456967312479	1.0143717098971875e-20
si:ch211-81a5.8	1.9272067830314978	1.028209825196846e-20
krt96	1.1228451089778657	1.1204648005850077e-20
si:ch211-260e23.9	1.9612032411184994	1.1323382409321782e-20
atp2b2	1.377165919931946	1.1472128404610385e-20
scel	1.0169118835917201	1.2066383153948447e-20
ENSDARG00000104456	-1.343400927741613	1.2659926958675336e-20
stoml3b	0.9528700799263475	1.331430511720623e-20
ace2	1.504833502076414	1.4289241604524858e-20
crtc1a	1.9457908119849614	1.4364288932643154e-20
rny2	-inf	1.4952372211404643e-20
syce2	1.8100526625657576	1.6609885605217733e-20
ENSDARG00000094217	1.3417019101593428	1.8407820380551132e-20
